,stars,number_of_reviews
Brentwood PA,4.5,15
Bridgeville PA,4.6,116
Brookhaven PA,4.5,45
Butler PA,4.5,36
Camp Hill PA,4,484
Ephrata PA,4.3,382
Exton PA,3.1,31
Harrisburg PA,4,280
Hershey PA,3.9,123
Lancaster PA,4.1,120
Latrobe PA,4.5,39
Levittown PA,3.7,67
Lititz PA,3.9,200
Malvern PA,4.5,37
Manheim PA,4.5,260
Media PA,4.2,34
Millersville PA,4.4,272
Moon Township PA,4.5,238
Murrysville PA,4.5,124
North Huntingdon PA,4.1,50
Philadelphia PA,3.5,28
Phoenixville PA,4.3,186
Pittsburgh PA,4.1,108
Quakertown PA,4.6,117
Shrewsbury PA,4.6,71
Stroudsburg PA,4.7,23
Uniontown PA,4.3,30
Washington PA,4.7,115
Wayne PA,3.7,137
West Chester PA,3.8,102
Wexford PA,4.6,20
Wyncote PA,3.3,235
York PA,4.3,196